index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge
358,1929,ACTRESS,Ruth Chatterton,Madame X,False,nm0154183,1892,1961,"actress,soundtrack,writer",37,False,2021,0
359,1930,ACTRESS,Ruth Chatterton,Sarah and Son,False,nm0154183,1892,1961,"actress,soundtrack,writer",38,False,2021,0
360,1929,ACTRESS,Betty Compson,The Barker,False,nm0173993,1897,1974,"actress,soundtrack",32,False,2021,0
361,1929,ACTRESS,Jeanne Eagels,The Letter,False,nm0247074,1890,1929,actress,39,False,2021,0
362,1929,ACTRESS,Corinne Griffith,The Divine Lady,False,nm0341464,1894,1979,"actress,producer,soundtrack",35,False,2021,0
363,1929,ACTRESS,Bessie Love,The Broadway Melody,False,nm0522281,1898,1986,"actress,soundtrack,script_department",31,False,2021,0
364,1929,ACTRESS,Mary Pickford,Coquette,True,nm0681933,1892,1979,"actress,producer,writer",37,False,2021,0
365,1929,ART DIRECTION,Hans Dreier,The Patriot,False,nm0237417,1885,1966,"art_director,art_department,set_decorator",44,False,2021,0
366,1931,ART DIRECTION,Hans Dreier,Morocco,False,nm0237417,1885,1966,"art_director,art_department,set_decorator",46,False,2021,0
367,1929,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True,nm0316539,1893,1960,"art_director,art_department,set_decorator",36,False,2021,0
369,1933,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False,nm0316539,1893,1960,"art_director,art_department,set_decorator",40,False,2021,0
371,1939,ART DIRECTION,Cedric Gibbons,Marie Antoinette,False,nm0316539,1893,1960,"art_director,art_department,set_decorator",46,False,2021,0
373,1929,ART DIRECTION,Mitchell Leisen,Dynamite,False,nm0500552,1898,1972,"director,art_director,costume_designer",31,False,2021,0
374,1929,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True,nm0005682,1890,1953,"cinematographer,camera_department,writer",39,False,2021,0
375,1929,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False,nm0249186,1891,1970,"cinematographer,camera_department,assistant_director",38,False,2021,0
376,1944,CINEMATOGRAPHY (Black-and-White),Arthur Edeson,Casablanca,False,nm0249186,1891,1970,"cinematographer,camera_department,assistant_director",53,False,2021,0
377,1929,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,False,nm0005823,1885,1978,"cinematographer,camera_department",44,False,2021,0
379,1951,CINEMATOGRAPHY (Color),Ernest Palmer,Broken Arrow,False,nm0005823,1885,1978,"cinematographer,camera_department",66,False,2021,0
